member_id,amount,date,status
1,100,2024-01-10,paid
2,100,2024-02-15,unpaid
3,100,2024-03-10,unpaid
4,100,2024-03-25,unpaid
5,150,2024-04-01,paid
6,100,2024-04-20,unpaid
7,100,2024-05-10,unpaid
8,100,2024-05-25,unpaid
9,100,2024-06-05,unpaid
10,150,2024-06-10,paid
11,150,2024-07-02,paid
12,100,2024-07-12,unpaid
13,100,2024-08-10,unpaid
14,150,2024-08-22,paid
15,100,2024-09-01,unpaid
16,150,2024-09-15,paid
17,150,2024-10-01,paid
18,150,2024-10-15,paid
19,150,2024-10-28,paid
20,150,2024-11-05,paid
21,150,2024-11-10,paid
22,150,2024-11-20,paid
23,100,2024-11-25,unpaid
24,100,2024-12-02,unpaid
25,150,2024-12-10,paid
26,100,2024-12-18,unpaid
27,100,2024-12-20,unpaid
28,150,2024-12-25,paid
29,100,2024-12-28,unpaid
30,150,2025-01-05,paid
31,100,2025-01-10,unpaid
32,150,2025-01-20,paid
33,100,2025-01-25,unpaid
34,150,2025-02-01,paid
35,100,2025-02-05,unpaid
36,100,2025-02-12,unpaid
37,150,2025-02-20,paid
38,150,2025-02-25,paid
39,150,2025-03-01,paid
40,150,2025-03-05,paid
41,100,2025-03-10,unpaid
42,150,2025-03-15,paid
43,150,2025-03-20,paid
44,150,2025-03-25,paid
45,150,2025-03-30,paid
46,100,2025-04-01,unpaid
47,2000.0,2025-11-20,paid

